Timestamp,City,Temperature,Humidity,Heat Index,Lat,Lon
2026-04-10 04:00:00,Mandalay,24.3,86,28.9,21.9588,96.0891
2026-04-10 05:00:00,Mandalay,23.9,90,28.7,21.9588,96.0891
2026-04-10 06:00:00,Mandalay,24.1,90,28.8,21.9588,96.0891
2026-04-10 07:00:00,Mandalay,25.5,82,29.5,21.9588,96.0891
2026-04-10 08:00:00,Mandalay,27.6,71,30.8,21.9588,96.0891
2026-04-10 09:00:00,Mandalay,29.7,60,32.0,21.9588,96.0891
2026-04-10 10:00:00,Mandalay,31.7,52,34.4,21.9588,96.0891
2026-04-10 11:00:00,Mandalay,33.6,45,36.9,21.9588,96.0891
2026-04-10 12:00:00,Mandalay,35.0,40,38.7,21.9588,96.0891
2026-04-10 13:00:00,Mandalay,35.8,36,39.0,21.9588,96.0891
2026-04-10 14:00:00,Mandalay,36.2,33,38.3,21.9588,96.0891
2026-04-10 15:00:00,Mandalay,36.1,32,37.1,21.9588,96.0891
2026-04-10 16:00:00,Mandalay,35.7,32,36.7,21.9588,96.0891
2026-04-10 17:00:00,Mandalay,35.0,32,36.1,21.9588,96.0891
2026-04-10 18:00:00,Mandalay,34.0,35,35.5,21.9588,96.0891
2026-04-10 19:00:00,Mandalay,32.9,40,34.7,21.9588,96.0891
2026-04-10 20:00:00,Mandalay,31.7,47,33.8,21.9588,96.0891
2026-04-10 21:00:00,Mandalay,30.5,54,33.0,21.9588,96.0891
2026-04-10 22:00:00,Mandalay,29.3,61,32.7,21.9588,96.0891
2026-04-10 23:00:00,Mandalay,28.2,68,32.7,21.9588,96.0891
2026-03-28 00:00:00,Yangon,25.6,82,29.9,16.8409,96.1735
2026-03-28 01:00:00,Yangon,24.6,85,28.6,16.8409,96.1735
2026-03-28 02:00:00,Yangon,23.8,91,28.0,16.8409,96.1735
2026-03-28 03:00:00,Yangon,23.3,95,27.6,16.8409,96.1735
2026-03-28 04:00:00,Yangon,23.0,96,27.4,16.8409,96.1735
2026-03-28 05:00:00,Yangon,22.8,97,27.1,16.8409,96.1735
2026-03-28 06:00:00,Yangon,22.8,96,27.3,16.8409,96.1735
2026-03-28 07:00:00,Yangon,24.4,91,29.1,16.8409,96.1735
2026-03-28 08:00:00,Yangon,26.7,82,31.8,16.8409,96.1735
2026-03-28 09:00:00,Yangon,29.5,70,35.1,16.8409,96.1735
2026-03-28 10:00:00,Yangon,32.4,56,38.9,16.8409,96.1735
2026-03-28 11:00:00,Yangon,34.9,40,40.1,16.8409,96.1735
2026-03-28 12:00:00,Yangon,35.8,39,41.2,16.8409,96.1735
2026-03-28 13:00:00,Yangon,37.0,35,41.7,16.8409,96.1735
2026-03-28 14:00:00,Yangon,37.5,32,41.1,16.8409,96.1735
2026-03-28 15:00:00,Yangon,37.5,31,39.7,16.8409,96.1735
2026-03-28 16:00:00,Yangon,36.9,30,37.7,16.8409,96.1735
2026-03-28 17:00:00,Yangon,36.0,32,37.0,16.8409,96.1735
